date,cumsum_task_count,cumsum_input_data_count,cumsum_actual_worktime_hour,task_count,input_data_count,annotation_count,actual_worktime_hour,monitored_worktime_hour,monitored_annotation_worktime_hour,monitored_inspection_worktime_hour,monitored_acceptance_worktime_hour,actual_worktime_hour/task_count,actual_worktime_hour/task_count__lastweek,actual_worktime_hour/input_data_count,actual_worktime_hour/input_data_count__lastweek,actual_worktime_hour/annotation_count,actual_worktime_hour/annotation_count__lastweek,monitored_worktime_hour/task_count,monitored_worktime_hour/task_count__lastweek,monitored_worktime_hour/input_data_count,monitored_worktime_hour/input_data_count__lastweek,monitored_worktime_hour/annotation_count,monitored_worktime_hour/annotation_count__lastweek,working_user_count
2020-10-24,218,4374,83.45,0,0,0,0,0,0,0,0,,0.351116838487972,,0.017470291527742,,0.006085105115836,,0.290484233963345,,0.014453434570118,,0.005034298855538,0
2020-10-25,218,4374,83.45,0,0,0,0,0,0,0,0,,0.351116838487972,,0.017470291527742,,0.006085105115836,,0.290484233963345,,0.014453434570118,,0.005034298855538,0
2020-10-26,247,4934,97.6166666666667,29,560,1349,14.1666666666667,6.65363166666667,5.14364722222222,0,1.50998444444444,0.488505747126437,0.314849921011058,0.025297619047619,0.015858995782605,0.010501606127996,0.005691196207773,0.229435574712644,0.274146854923644,0.011881485119048,0.013808781663616,0.004932269582407,0.004955451588185,3
2020-10-27,312,6138,112.733333333333,65,1204,3294,15.1166666666667,15.5120013888889,13.4575641666667,0,2.05443722222222,0.232564102564103,0.302888888888889,0.012555370985604,0.015673873045078,0.004589151993524,0.005690547762191,0.238646175213675,0.2452659,0.012883722083795,0.012692002644894,0.00470916860622,0.004607951528056,3
2020-10-28,347,6817,120.066666666667,35,679,2028,7.33333333333333,9.78671888888889,7.49449972222222,0,2.29221916666667,0.20952380952381,0.288325281803543,0.010800196367207,0.014928297482074,0.003616042077581,0.005428224950735,0.27962053968254,0.243847819377348,0.014413429880543,0.012625437371464,0.004825798268683,0.004590859355263,2
2020-10-29,388,7711,133.066666666667,41,894,2151,13,12.8053983333333,10.6714055555556,0,2.13399277777778,0.317073170731707,0.283828382838284,0.014541387024609,0.014470805990241,0.00604370060437,0.005467607603789,0.312326788617886,0.242877750275027,0.014323711782252,0.012382964552134,0.00595323028049,0.004678743615826,3
2020-10-30,417,8405,142.316666666667,29,694,1613,9.25,9.18876388888889,7.54213333333334,0,1.64663055555556,0.318965517241379,0.295812395309883,0.013328530259366,0.014603489622096,0.005734655920645,0.005641271362402,0.316853927203065,0.271088010887772,0.013240293788024,0.01338291098156,0.005696691809603,0.005169766570835,2
2020-10-31,417,8405,145.4,0,0,0,3.08333333333333,0,0,0,0,,0.311306532663317,,0.015368394939221,,0.005936751317681,,0.271088010887772,,0.01338291098156,,0.005169766570835,1
2020-11-01,417,8405,145.4,0,0,0,0,0,0,0,0,,0.311306532663317,,0.015368394939221,,0.005936751317681,,0.271088010887772,,0.01338291098156,,0.005169766570835,0
2020-11-02,434,8775,153.616666666667,17,370,1040,8.21666666666667,8.44089,6.95755444444444,0,1.48333555555556,0.483333333333333,0.299465240641711,0.022207207207207,0.014579536579016,0.007900641025641,0.005530317993285,0.496522941176471,0.298041564171123,0.022813216216216,0.014510224550898,0.008116240384615,0.0055040265159,2
2020-11-03,445,9024,156.116666666667,11,249,481,2.5,2.47450527777778,1.90389944444444,0,0.570605833333333,0.227272727272727,0.326190476190476,0.01004016064257,0.01503234003234,0.005197505197505,0.005932357901454,0.224955025252525,0.321024634502924,0.009937772199911,0.014794274563025,0.005144501617002,0.005838407820168,1
2020-11-04,484,9978,173.2,39,954,2063,17.0833333333333,8.03524583333333,6.36339027777778,0,1.67185555555556,0.438034188034188,0.387834549878346,0.017907058001398,0.016809026679321,0.008280820811117,0.007230992560334,0.206031944444444,0.298867177615572,0.00842268955276,0.012953117157018,0.003894932541606,0.005572237797133,3
2020-11-05,518,10752,180.9,34,774,2376,7.7,14.8364161111111,10.0734630555556,0,4.76295305555556,0.226470588235294,0.367948717948718,0.009948320413437,0.015729474953415,0.003240740740741,0.006316299132884,0.436365179738562,0.330583239316239,0.019168496267586,0.01413213453177,0.006244282875047,0.005674874040818,3
2020-11-06,526,10922,187.566666666667,8,170,595,6.66666666666667,4.73323361111111,3.53950222222222,0,1.19373138888889,0.833333333333333,0.415137614678899,0.03921568627451,0.01797775129122,0.011204481792717,0.006903127383677,0.591654201388889,0.353397163608563,0.027842550653595,0.015304048801483,0.007955014472456,0.005876474574116,3
2020-11-07,526,10922,187.566666666667,0,0,0,0,0,0,0,0,,0.386850152905199,,0.0167527479804,,0.006432748538012,,0.353397163608563,,0.015304048801483,,0.005876474574116,0
2020-11-08,526,10922,187.566666666667,0,0,0,0,0,0,0,0,,0.386850152905199,,0.0167527479804,,0.006432748538012,,0.353397163608563,,0.015304048801483,,0.005876474574116,0
2020-11-09,562,11777,195.15,36,855,2211,7.58333333333333,10.7069502777778,6.86195472222222,0,3.84499555555556,0.210648148148148,0.324479166666667,0.008869395711501,0.013835220963802,0.003429820594,0.005375787384589,0.297415285493827,0.318643368055556,0.012522748862898,0.013586392775187,0.004842582667471,0.005279103172549,2
2020-11-10,592,12462,202.233333333333,30,685,1741,7.08333333333333,6.97826666666667,5.30277416666667,0,1.6754925,0.236111111111111,0.313718820861678,0.010340632603406,0.013413806476634,0.00406854298296,0.005132057274279,0.232608888888889,0.308096003401361,0.010187250608273,0.013173389325189,0.00400819452422,0.005040074838638,2
2020-11-11,623,13176,208.483333333333,31,714,1570,6.25,6.877055,5.23843944444444,0,1.63861555555556,0.201612903225806,0.253836930455635,0.00875350140056,0.01103293725245,0.003980891719745,0.004154401664116,0.221840483870968,0.317495839328537,0.009631729691877,0.013799850427351,0.004380289808917,0.005196270065544,2
2020-11-12,628,13286,212.066666666667,5,110,279,3.58333333333333,1.36438194444444,0.946521666666667,0,0.417860277777778,0.716666666666667,0.283333333333333,0.032575757575758,0.01229939489608,0.01284348864994,0.00487283718991,0.272876388888889,0.27872625,0.012403472222222,0.012099403117601,0.004890257865392,0.004793603424015,2
2020-11-13,642,13616,214.616666666667,14,330,821,2.55,5.34652555555556,3.84224111111111,0,1.50428444444444,0.182142857142857,0.233189655172414,0.007727272727273,0.010040831477357,0.003105968331303,0.004084868619752,0.381894682539683,0.269596374521073,0.016201592592593,0.011608455621546,0.006512211395317,0.004722618460351,2
